source,metric,value,context,run,seed,corrupt_source,lap_n,depression_strength,strictness,hold_off,batch_size,noise_level,n_corrupt_sources
7.0,f1_score,0.4776119402985074,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
8.0,accuracy_score,0.5,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
8.0,recall_score,0.37589376915219613,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
8.0,precision_score,0.4816753926701571,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
8.0,f1_score,0.42226047045324155,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
9.0,accuracy_score,0.8857994041708044,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
9.0,recall_score,0.9003690036900369,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
9.0,precision_score,0.8888888888888888,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
9.0,f1_score,0.8945921173235563,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
10.0,accuracy_score,0.9220456802383317,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
10.0,recall_score,0.874251497005988,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
10.0,precision_score,0.9658213891951488,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
10.0,f1_score,0.9177579884756417,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
11.0,accuracy_score,0.506454816285998,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
11.0,recall_score,0.4181646168401135,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
11.0,precision_score,0.53836784409257,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
11.0,f1_score,0.470713525026624,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
0.0,accuracy_score,0.8493638676844784,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
0.0,recall_score,0.860381861575179,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
0.0,precision_score,0.8011111111111111,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
0.0,f1_score,0.8296892980437285,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
1.0,accuracy_score,0.7974554707379135,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
1.0,recall_score,0.7539267015706806,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
1.0,precision_score,0.732824427480916,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
1.0,f1_score,0.7432258064516128,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
2.0,accuracy_score,0.9017811704834605,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
2.0,recall_score,0.9694323144104804,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
2.0,precision_score,0.9151943462897526,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
2.0,f1_score,0.941532868827628,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
3.0,accuracy_score,0.7592875318066158,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
3.0,recall_score,0.6898340248962656,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
3.0,precision_score,0.7926102502979738,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
3.0,f1_score,0.737659456461453,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
4.0,accuracy_score,0.45089058524173026,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
4.0,recall_score,0.2728164867517174,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
4.0,precision_score,0.4512987012987013,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
4.0,f1_score,0.34006116207951076,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
5.0,accuracy_score,0.7826972010178117,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
5.0,recall_score,0.7959183673469388,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
5.0,precision_score,0.7206521739130435,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
5.0,f1_score,0.7564175698802054,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
6.0,accuracy_score,0.850381679389313,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
6.0,recall_score,0.8314732142857143,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
6.0,precision_score,0.838963963963964,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
6.0,f1_score,0.8352017937219731,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
7.0,accuracy_score,0.4529262086513995,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
7.0,recall_score,0.2745302713987474,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
7.0,precision_score,0.40902021772939345,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
7.0,f1_score,0.32854465958775764,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
8.0,accuracy_score,0.5623409669211196,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
8.0,recall_score,0.2911392405063291,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
8.0,precision_score,0.4339622641509434,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
8.0,f1_score,0.34848484848484845,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
9.0,accuracy_score,0.8712468193384224,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
9.0,recall_score,0.8422818791946308,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
9.0,precision_score,0.8705202312138728,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
9.0,f1_score,0.8561682774303582,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
10.0,accuracy_score,0.8045801526717558,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
10.0,recall_score,0.7565298507462687,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
10.0,precision_score,0.8683083511777302,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
10.0,f1_score,0.8085742771684945,validation,3,8,False,25,1.0,0.8,0,64,0.5,4
11.0,accuracy_score,0.49669211195928753,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
11.0,recall_score,0.3371757925072046,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
11.0,precision_score,0.54,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
11.0,f1_score,0.4151389710230633,validation,3,8,True,25,1.0,0.8,0,64,0.5,4
0.0,accuracy_score,0.8693693693693694,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
0.0,recall_score,0.899876390605686,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
0.0,precision_score,0.801762114537445,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
0.0,f1_score,0.8479906814210832,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
1.0,accuracy_score,0.8168168168168168,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
1.0,recall_score,0.8315282791817088,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
1.0,precision_score,0.7535441657579062,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
1.0,f1_score,0.7906178489702517,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
2.0,accuracy_score,0.8798798798798799,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
